GEOID,year,count_lag2,count_lag3,count_lag4,count_lag5,count_lag6,stateAvg_lag2,Incident_nominal_lag2,neigh_death_count_lag2,temp_lag2,prec_lag2,hum_lag2,gini_lag2,County_type_lag2
1001,2020,0,3,1,0,0,0.2388059701492537,1,1,292.39506116893193,4.083191734836498,76.63681820386077,0.4572144730571721,1
1003,2020,1,2,2,0,0,0.2388059701492537,1,9,293.65846515812285,4.3127722110053215,79.70323509320819,0.4439696144578445,1
1005,2020,0,0,0,0,0,0.2388059701492537,1,0,293.10555971746584,4.01910604180636,76.59165025998469,0.4442524042250183,0
1007,2020,0,0,0,1,0,0.2388059701492537,1,5,292.09800415039064,4.248795320095799,77.04938770973519,0.4378413400411089,0
1009,2020,0,0,0,0,0,0.2388059701492537,0,2,290.81536271604773,4.014238400074384,75.9913559796059,0.4490458584919442,0
1011,2020,0,1,0,0,0,0.2388059701492537,1,1,293.0547570633562,3.898030128453995,76.45671864862311,0.4321443475934064,0
1013,2020,0,0,0,0,0,0.2388059701492537,1,0,293.04043771404116,4.124986822818662,78.45198289008991,0.4070896022199962,0
1015,2020,0,2,0,0,0,0.2388059701492537,1,0,291.17021233545586,3.6892847769924932,75.08723004484834,0.4747906869252476,1
1017,2020,0,0,0,0,0,0.2388059701492537,1,0,291.91131541631,3.917070866842396,75.10206307189105,0.4712373046295433,0
1019,2020,0,0,0,0,0,0.2388059701492537,0,0,290.77028574486303,3.845598974610723,75.55483517581469,0.4747375406295618,0
1021,2020,0,3,0,0,0,0.2388059701492537,1,1,292.01674888297305,4.275750243566868,76.62171227964636,0.4624309019595259,0
1023,2020,0,0,0,0,0,0.2388059701492537,0,1,292.79498617093856,4.19120221603368,78.32696687881261,0.4442305448048751,0
1025,2020,0,0,0,0,0,0.2388059701492537,0,1,293.2153555088826,4.1072392368400745,78.60709322158607,0.435094555599574,0
1027,2020,0,0,0,0,0,0.2388059701492537,0,0,291.56828602133265,3.7859814104188616,75.55082161959999,0.4579761823693821,0
1029,2020,0,1,0,0,0,0.2388059701492537,1,0,291.3623180650685,3.72628712749896,75.12197449566567,0.4656657930100335,0
1031,2020,0,0,0,0,0,0.2388059701492537,1,0,293.2676724368579,3.9917854872436935,78.26295765915962,0.4120745694039748,0
1033,2020,0,1,0,0,0,0.2388059701492537,1,0,290.4982073222121,4.0193468193076525,76.2442722895374,0.4282355593605608,1
1035,2020,0,0,0,1,0,0.2388059701492537,1,0,293.25529372681234,4.270324291896272,77.98332729252505,0.44817910660064203,0
1037,2020,0,0,0,0,0,0.2388059701492537,0,1,291.66333484388383,3.822864257980212,75.65499032948115,0.4523586343746767,0
1039,2020,0,1,0,0,0,0.2388059701492537,1,0,293.9039167848352,4.667491813567409,79.38267110537176,0.4287043024982779,0
1041,2020,0,0,0,0,0,0.2388059701492537,1,1,293.13381849315067,3.971365963639178,78.13757268827256,0.40544335512104174,0
1043,2020,0,1,0,0,0,0.2388059701492537,1,0,290.6677294030036,4.113253809835856,76.47607138298409,0.4519516570685117,0
1045,2020,0,0,0,0,0,0.2388059701492537,1,0,293.56920483732875,3.8937832026819343,76.56667696286554,0.4367442360177514,1
1047,2020,0,0,0,1,0,0.2388059701492537,1,0,292.7683822506422,4.113552386187746,77.49114732716177,0.4226414833546567,0
1049,2020,0,0,0,0,0,0.2388059701492537,0,0,289.83016900885593,4.059607970996464,76.92835286806708,0.4521364152418389,0
1051,2020,0,2,0,0,0,0.2388059701492537,1,1,292.35138073228813,3.751142645714478,75.94331427273687,0.452279482483948,1
1053,2020,0,0,0,0,0,0.2388059701492537,1,2,293.91410514099965,4.5609992321686175,79.36473443018247,0.4432371747404334,0
1055,2020,0,1,0,0,0,0.2388059701492537,1,0,290.8408175533765,3.840415617300781,75.75794950511356,0.4578617077714467,1
1057,2020,1,0,0,0,0,0.2388059701492537,0,2,291.71337015509073,4.1574497091255775,76.83406214605185,0.43761469562305017,0
